,Artista,Nombre,Nacionality
415,Debby Boone,Debby Boone,US
416,Mary MacGregor,Mary MacGregor,US
417,Shaun Cassidy,Shaun Cassidy,US
418,Thelma Houston,Thelma Houston,US
419,Pablo Cruise,Pablo Cruise,US
420,Rose Royce,Rose Royce,US
421,Sanford-Townsend Band,The E Street Band,US
422,Brick,Scott Brick,US
423,Firefall,Firefall,US
424,William Bell,William Dufris,US
425,Rita Coolidge,Rita Coolidge,US
426,Jennifer Warnes,Jennifer Warnes,US
427,Engelbert Humperdinck,Engelbert Humperdinck,GB
428,Marilyn McCoo & Billy Davis Jr.,Marilyn McCoo,US
429,Alan O’Day,Anita O’Day,US
430,Kenny Nolan,Kenny Rogers,US
431,Paul Nicholas,Paul McCartney,GB
432,David Soul,David Bowie,
433,Crystal Gayle,Crystal Gayle,US
434,Climax Blues Band,Climax Blues Band,GB
435,Rod Stewart,Rod Stewart,GB
436,Billy Joel,Billy Joel,US
437,Parliament,Parliament,US
438,Evelyn “Champagne” King,Evelyn “Champagne” King,US
439,Gerry Rafferty,Gerry Rafferty,GB
440,The Trammps,The Trammps,US
441,Rick James,James Brown,US
442,Samantha Sang,Samantha Sang,AU
443,Leif Garrett,Leif Garrett,US
444,Little River Band,Little River Band,AU
445,John Paul Young,Paul Young,GB
446,Yvonne Elliman,Yvonne Elliman,US
447,Ambrosia,Ambrosia,US
448,David Gates,David Bowie,
449,Dolly Parton,Dolly Parton,US
450,Michael Johnson,Michael Jackson,US
451,Styx,Styx,US
452,the Who,The Who,GB
453,Dan Hill,Dan Brown,US
454,Foxy,Foxy,US
455,Raydio,Raydio,US
456,John Travolta & Olivia Newton-John,Olivia Newton‐John,AU
457,Player,Player,US
458,Meat Loaf,Meat Loaf,US
459,Paul Davis,Miles Davis,US
460,Eddie Money,Eddie Money,US
461,Exile,EXILE,JP
462,A Taste of Honey,A Taste of Honey,US
463,Chuck Mangione,Chuck Mangione,US
464,Kenny Loggins & Stevie Nicks,Stevie Nicks,US
465,Jay Ferguson,Maynard Ferguson,US
466,Walter Egan,Walter Egan,US
467,Alicia Bridges,Alicia Bridges,US
468,Bob Welch,Bob Dylan,US
469,Chris Rea,Chris Rea,GB
470,Nick Gilder,Nick Gilder,CA
471,Randy Newman,Randy Newman,US
472,L.T.D.,Public Image Ltd,GB
473,Chic,Chic,US
