,Track,Artist,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity,Year,Track_Length,Track_Word_Length,Track_Transformed,Track_Language
96,i think i love you,the Partridge Family,3:42,4,0.671,0.418,6,-14.124,0,0.0371,0.187,0.215,0.132,0.607,91.866,75,1971,18,5, think  love you,ENGLISH
97,black magic woman,Santana,3:16,4,0.489,0.349,2,-14.295,0,0.0323,0.676,0.0789,0.0866,0.622,124.348,70,1971,17,3,black magic woman,ENGLISH
98,tired of being alone,Al Green,2:52,4,0.772,0.397,7,-8.585,1,0.0391,0.339,0.00541,0.0753,0.617,97.964,69,1971,20,4,tired  being alone,ENGLISH
99,superstar,The Carpenters,4:49,4,0.572,0.822,11,-6.015,0,0.361,0.207,0.0,0.359,0.472,94.812,69,1971,9,1,superstar,GERMAN
100,love her madly,The Doors,3:18,4,0.565,0.587,4,-7.393,0,0.0317,0.0573,0.00493,0.0416,0.966,147.462,69,1971,14,3,love her madly,ENGLISH
101,bridge over troubled water,Aretha Franklin,4:53,4,0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,68,1971,26,4,bridge over troubled water,ENGLISH
102,me and bobby mcgee,Janis Joplin,4:31,4,0.43,0.463,2,-10.96,1,0.0442,0.303,5.84e-05,0.152,0.66,93.405,68,1971,18,4,  bobby mcgee,ENGLISH
103,mercy mercy me (the ecology),Marvin Gaye,3:13,4,0.498,0.634,6,-12.16,0,0.0475,0.328,0.748,0.0962,0.515,93.161,68,1971,28,5,mercy mercy   ecology,ENGLISH
104,domino,Van Morrison,3:51,4,0.757,0.547,7,-4.572,1,0.0355,0.0115,0.0,0.0445,0.793,126.974,68,1971,6,1,domino,SPANISH
105,gypsy woman,Brian Hyland,7:31,4,0.484,0.641,5,-12.612,1,0.0377,0.000779,0.278,0.0738,0.181,119.981,67,1971,11,2,gypsy woman,ENGLISH
106,peace train,Cat Stevens,4:13,4,0.594,0.682,0,-8.858,1,0.0487,0.051,4.56e-05,0.0919,0.76,82.487,67,1971,11,2,peace train,ENGLISH
107,brown sugar,The Rolling Stones,3:48,4,0.633,0.934,0,-3.594,1,0.0344,0.219,0.00021,0.0592,0.963,128.602,67,1971,11,2,brown sugar,ENGLISH
108,if you could read my mind,Gordon Lightfoot,3:48,4,0.612,0.24,9,-12.821,1,0.033,0.745,7.86e-05,0.115,0.223,122.565,65,1971,25,6, you  read  mind,ENGLISH
109,if you really love me,Stevie Wonder,3:04,4,0.692,0.883,7,-4.698,1,0.0582,0.0512,0.0,0.228,0.614,122.984,65,1971,21,5, you really love ,ENGLISH
110,joy to the world,Three Dog Night,3:40,4,0.649,0.679,2,-12.515,1,0.0316,0.464,0.00121,0.339,0.971,126.867,65,1971,16,4,joy   world,ENGLISH
111,she’s a lady,Tom Jones,2:54,4,0.51,0.876,2,-9.101,1,0.161,0.212,0.0,0.248,0.624,119.702,64,1971,12,3,  lady,ENGLISH
